Channel_Games,Viewers,Channels
slitherio,13127,7
Smite,3239,186
Soccer,1798,1
Social Eating,1358,8
Sonic Adventure 2 Battle,674,2
Sonic CD,2444,2
Sonic Heroes,389,1
Sonic Mania,1453,2
Sonic Unleashed,2567,1
SOS,349,7
Soul Worker Online,631,21
Soulworker,2242,22
South Park The Fractured But Whole,675,8
Space Engineers,2109,4
Sparkster,886,1
SpeedRunners,2208,4
Spellsworn,1147,4
Spelunky,2254,4
Splatoon 2,1579,162
SpongeBob SquarePants ,491,2
SpongeBob SquarePants ,1471,1
Spore,800,3
SpyParty,6946,1
Stand Out,916,3
Star Citizen,1204,27
Star Wars Battlefront II,938,22
Starbound,124,9
StarCraft Brood War,669,8
StarCraft II,18855,148
Stardew Valley,2465,57
State of Decay 2,976,1
Steam,2154,3
SteamWorld Dig 2,553,10
Steep,1674,5
Stellaris,1171,20
StepMania,1141,7
Stick Fight The Game,1674,7
Stories Untold,425,1
Street Fighter V,943,59
Subnautica,1826,51
Summoners War Sky Arena,1487,43
Super Bomberman 3,1913,1
Super Bomberman 4,2531,1
Super Hexagon,9945,1
Super Mario 64,546,14
Super Mario Bros 3,1350,4
Super Mario Kart,439,2
Super Mario Maker,1220,16
Super Mario Odyssey,864,21
Super Mario Sunshine,2143,9
Super Mario World,245,16
Super Meat Boy,519,1
Super Metroid,536,3
Super Monkey Ball 2,499,3
Super Robot Wars X,140,29
Super Seducer,2597,3
Super Smash Bros Brawl,3845,1
Super Smash Bros for Wii U,188,37
Super Smash Bros Melee,487,13
Super Street Fighter II Turbo,3925,2
Surgeon Simulator 2013,1269,1
Surviving Mars,957,18
Swedish Touring Car Championship,2401,1
Sword Art Online Hollow Realization,194,3
Swords and Sandals II,9321,2
Tabletop Simulator,634,15
Taiko no Tatsujin Tokumori,1460,1
Tales of Berseria,649,5
Tales Runner,1209,2
Talk Shows,27552,118
Team Fortress 2,410,14
Team Fortress Classic,3468,1
Teenage Mutant Ninja Turtles IV Turtles in Time,1773,1
Tekken 7,1109,52
Tera,1165,234
Terraria,178,68
Tesla vs Lovecraft,657,1
Testament,2893,1
Thats You,5824,1
The Adventure Pals,1593,5
The Adventures of Captain Comic,1910,1
The Balcony,711,1
The Binding of Isaac Afterbirth,1152,40
The Council,3228,6
The Curse of Monkey Island,653,3
The Darkness II,1457,8
The Elder Scrolls III Morrowind,3215,6
The Elder Scrolls IV Oblivion,1671,13
The Elder Scrolls Legends,2502,25
The Elder Scrolls Online,179,101
The Elder Scrolls V Skyrim,1290,148
The Flood,369,1
The Forest,1105,38
The Godfather II,663,1
The iDOLMSTER Cinderella Girls Starlight Stage,637,7
The Jackbox Party Pack 3,134,6
The Jackbox Party Pack 4,475,22
The Joy Of Sex,1529,1
The King of Fighters 97,916,2
The King of Fighters 98 The Slugfest,898,1
The King of Fighters XIV,877,3
The Last of Us,414,19
The Legend of Zelda,1416,16
The Legend of Zelda A Link to the Past,539,47
The Legend of Zelda Breath of the Wild,9519,51
The Legend of Zelda Majoras Mask,915,7
The Legend of Zelda Majoras Mask 3D,178,5
The Legend of Zelda Ocarina of Time,3524,15
The Legend of Zelda Ocarina of Time 3D,658,2
The Legend of Zelda The Wind Waker,176,6
The Legend of Zelda The Wind Waker HD,717,2
The Letter,330,1
The Long Dark,1113,39
The Long Reach,370,7
The Lord of the Rings Conquest,250,1
The Operative No One Lives Forever,701,1
The Pillars of the Earth,2807,1
The Red Strings Club,505,1
The Simpsons Hit  Run,602,2
The Sims 3,444,2
The Sims 4,1547,67
The Smurfs,111,1
The Stanley Parable,547,1
The Swords of Ditto,967,1
The Talos Principle,3127,1
The Weakest Link,768,1
The Witcher,1546,2
The Witcher 3 Wild Hunt,1360,87
The Witness,872,12
The Wolf Among Us,847,4
theHunter Call of the Wild,3974,15
They,1123,1
They Are Billions,1804,20
Throne of Lies The Online Game of Deceit,2504,4
Tibia,1426,67
Titan Souls,1315,1
Together VR,810,1
Toilet Tycoon,927,1
Tokimeki Memorial Forever With You,927,1
Tom Clancys Ghost Recon Wildlands,1641,74
Tom Clancys Rainbow 6 Patriots,11929,13
Tom Clancys Rainbow Six Siege,16497,150
Tom Clancys Splinter Cell Blacklist,17,1
Tom Clancys The Division,978,150
Tomb Raider,1124,17
Tony Hawks American Wasteland,1670,1
Total War ARENA,128,18
Total War Shogun 2,1461,2
Total War Warhammer II,808,22
Tower Unite,1230,3
TowerFall,1915,2
Town With No Name,3147,1
TrackMania,1327,1
TrackMania Stadium,1303,13
TrackMania Turbo,783,21
Train Valley,1296,2
Trash,972,2
Treadnauts,2187,4
Tricky Towers,2950,4
Trip World,2222,2
Trivia Whiz,1352,1
Tumblestone,11943,1
Turmoil,688,2
Twitch Plays,962,18
UFC Undisputed 2010,1217,1
Ultima Online,134,7
Ultimate Chicken Horse,1936,5
Ultimate Marvel vs Capcom 3,725,3
Under Night InBirth ExeLatest,910,1
Undertale,1149,11
Uno,174,3
Unturned,1650,5
Use Your Words,1111,2
Valkyria Chronicles 4,337,7
Vampire The Masquerade  Bloodlines,765,5
Virtua Fighter 5 Final Showdown,2310,1
Virtual Pool 64,1786,1
Vain Glory,2670,5
Viscera Cleanup Detail,907,1
VRChat,760,49
Vs Super Mario Bros,1207,1
War Robots,2860,2
War Thunder,12,65
Warcraft III Reign of Chaos,416,1
Warcraft III The Frozen Throne,8615,63
Warface,796,21
Warframe,1524,196
Warhammer 40000 Eternal Crusade,982,2
Warhammer Vermintide 2,16,124
WarioWare Smooth Moves,803,1
Welcome to the Game,190,1
Welcome to the Game II,66933,76
What Remains of Edith Finch,113,1
Wheel of Fortune Featuring Vanna White,760,1
Where the Water Tastes Like Wine,1387,2
White Day A Labyrinth Named School,706,1
Wii Party,1312,1
Wii Sports,1749,1
Wild Guns,1426,1
Wild Guns Reloaded,1551,1
Will To Live Online,1354,18
Windjammers,3539,1
Winx Club,2313,2
Wipeout 3,520,1
Witch It,996,1
World of Tanks,7650,342
World of WarCraft,2376,191
World of Warships,2192,115
Worms Clan Wars,10235,3
Worms Revolution,1506,1
Worms WMD,2382,2
Wreckfest,732,3
Wrestling,1527,7
WWE SuperCard,578,10
WWF SmackDown 2 Know Your Role,432,1
WWF Wrestlefest,2988,1
WWF WrestleMania 2000,4904,1
XCOM 2 War of the Chosen,2251,7
XCOM Enemy Within,720,6
XCOM UFO Defense,1705,2
Yakuza 0,1753,11
Yakuza 3,1418,1
Yakuza 4,1228,3
Yakuza 5,716,1
Yakuza Kiwami,1372,3
YuGiOh Duel Links,1825,20
Zula,966,5
